,Title,Author,Story Summary,chapter Amount
14,Caretaker of Hololive,MonochromeLibrary, Collection of diary-like entries and dialogues detailing the day to day activities of the members of Hololive while staying with the owner of Aelin Inn.    ,43
15,Hololive's Valentines,Derpydan," Since Today is Valentines day, I decided to write short one-shots about every ship that i know of in hololive. I don't know how many I'll be able to make so yeah. Have fun reading short oneshots    ",4
16,Hololive: Hollow Deviation,AugmentedWhiteWind, ,3
17,Hololive - Smut shorts,limw," Stories too short to deserve their own entries, and better off released as chapters.    ",11
18,Hololive Short Stories,HD258, Just short stories    ,68
19,A Cold Warmth (Hololive),RandomAdventures," Lamy's spent a lot of time caring for him, and Kiato's never understood why. When they venture to go cheer up a sick friend of theirs, a chance for her to tell him might just arise... (OC/Yukihana Lamy.)    ",1
20,Hololive Oneshots,Marche_Mapler," Oneshots based on Hololive characters (specifically the CHARACTERS, not the people behind them. I know on-stream interactions are a bit of a grey area in that regard, but if I can help it I won't reference anything that's clearly specific to the person behind the screen). I'm not the best writer, but these stories won't exist if I don't at least try, so that's what I'm doing. Hope you enjoy! There may or may not be future chapters, and chapters may or may not connect to each other. If they do, I'll try to make that clear in chapter notes. If not, apologies for letting story ideas die inside my brain.    ",1
21,Hololive-Hololove!,A3L," This is a story about all the Hololive (or almost)! It tells about their lives, their friendships, but above all of their loves! It will not be set in any fantasy world, it will simply deal with their lives and the evolution of love in each of them! Happy reading!  P.S.(I'm not very good with English, but I tried to do my best, thanks for the understanding).    ",4
22,Hololive: Reflection,JowaPlays," *ON HIATUS*Fate, the ability to change the future, and the ability to alter the past. Are these things possible? Are they nothing more than hopeful pipe dreams? Maybe they're neither? Or maybe they're both?Upon waking up in a twisted world teeming with terrifying monsters known as Malice and meeting a strange boy named Tamashi, 18-year old NEET Ito Nozomi finds himself saving Hololive members, defeating horrible beasts, and developing relationships, all while discovering the true nature of the strange world he woke up in and uncovering a mysterious organization's odd motives.Tags will be added as characters appear and relationships develop. Will be aiming for daily updates! Story is being worked on as I go along.    ",31
23,Hololive Drabbles,Cosmotion (Essummerbummer225), A collection of various Hololive short stories. Will be mostly Amesame-centered. Rating may change for later drabbles and will be listed in the author's notes if it does change.Chapter 1: Amelia settles down in her office for another day of paperwork and bills but she does not anticipate an uninvited guest lurking just beneath her desk.    ,2
24,Hololive oneshots,Clairclaymorebrandname, A series of hololive one shots and maybe one day others.    ,1
25,Hololive DDD,viedogaems," A series of short stories set to be released in the month of December, where the topic of each story is pre-determined by users of a certain Hololive fan group who were led to believe DDD stood for ""Destroy Dick December"".    ",31
26,Hololive Resort,PunishedVarmint," After performing the concert of a lifetime, all the Hololive talents are sent off to relax at a tropical beach resort. But there's more fun to be had than just building sandcastles.    ",2
27,Hololive Initiative,Meephisto_Neero, ,7
28,Hololive Holiday,GrandLeviathan," Hawaii was a lovely place at the height of summer. Beaches, pools, shopping malls... plenty of places for them to visit, and plenty of places to indulge - in more ways than one.    ",2
29,Pekora ends Hololive,HikariiAi," One day, Usada Pekora goes seemingly insane.She starts trying to kill every Hololive member, one by one.Can anyone stand up to the ruthless war criminal?    ",3
30,Hololive Smut Anthology,Mangolin, An ongoing series of self-insert smut scenes featuring the stars of Hololive.    ,1
31,Hololive's Valentines,Derpydan," Since Today is Valentines day, I decided to write short one-shots about every ship that i know of in hololive. I don't know how many I'll be able to make so yeah. Have fun reading short oneshots    ",4
32,Hololive Oneshots Collection,13MON," A collection of Hololive related Oneshots!My original fic was deleted, but luckily I have saved every fic! if you want, follow me on twitter: @13MON4    ",34
33,Horny Hololive Smut,TangerineSunrise," Hololive smut, that's it.    ",11
34,Hololive: Hollow Deviation,AugmentedWhiteWind, ,3
35,Hololive oneshots / Ficlets,NoCake, Decided to place the one-shots/ficlets into one work from now on - the ones already posted will stay put where they are. ¯\_(ツ)_/¯Here's to the new year. The number of words can vary from chapter to chapter.    ,38
36,Caretaker of Hololive,MonochromeLibrary, Collection of diary-like entries and dialogues detailing the day to day activities of the members of Hololive while staying with the owner of Aelin Inn.    ,43
37,Hololive - Smut shorts,limw," Stories too short to deserve their own entries, and better off released as chapters.    ",11
38,Hololive Short Stories,HD258, Just short stories    ,68
39,Hope's Descent (Hololive),RandomAdventures," Christmas is rapidly coming up for Renai and IRyS. And with its arrival, there might just be a change in the relationship between the two of them... one of a distinctly lewd and intimate nature. (OC/IRyS.)    ",1
40,Hope's Descent (Hololive),RandomAdventures," Christmas is rapidly coming up for Renai and IRyS. And with its arrival, there might just be a change in the relationship between the two of them... one of a distinctly lewd and intimate nature. (OC/IRyS.)    ",1
41,"Hololive headcanons, I think",KaiIsntSmart," Headcanons for Hololive, I guess.    ",1
42,An Angelic Devil (Hololive),RandomAdventures," Having been accepted to study overseas, the upcoming summer festival's going to be the last one Makoto gets to attend for a while. Thankfully, though he'll be busy, he'll still have time to spend with Towa. And with the promised fireworks, something might just change between them... (OC/Tokoyami Towa.)    ",1
43,HOLOLIVE ONESHOTS(X READER),s0l4rrxx, HAHAHAA YA BOI SOLAR IS BACK AT IT AGAIN LETS GO    ,6
44,Rai hololive Idea collection,RaidGachaSalt," This is where I place all Ideas I might build on.I might make them into more than just drabble but for now, they will remain as such.    ",19
45,Hololive Bloom: Digital Colors!,ZabiHakuhei," Inspired by the Holo;Alt concept: In a virtual world where colors are the source of life commanded by an entity called The Spectrum, the real story of this world of fiction wishes to be told. An adventure that narrates the value of friendship and love in the most entertaining and surrealist way; join on the members of Hololive to unravel what is behind.Disclaimer:The one above is a work of fiction inspired entirely by Virtual Youtubers. You must, by all circumstances behave nicely and as proper as needed with the people behind these characters, as they're real people with real lives and feelings. No part of this work must be taken out of context it's a work of fiction and must remain as it.14-01-2022: Take the media boost part seriously this time :) by RTing my posts on Twitter @OverkilledRed_ you will help me to make this work reach many other people, and end it with a smile.ALSO 08-02-2022: As of today, I've exceeded the limit of character tags, so please make sure to read the Arc summaries on my Twitter to know which characters appear on each Arc, as I'm planning to portray most of the Hololive members from 2021.    ",57
46,"Hololive_""Friends or Foe""",LaxyReed," ""This is not personal, but its my responsibility""An adventure to stop the chaos and world destruction while trying to save each other and restoring friendship.    ",6
47,A Cold Warmth (Hololive),RandomAdventures," Lamy's spent a lot of time caring for him, and Kiato's never understood why. When they venture to go cheer up a sick friend of theirs, a chance for her to tell him might just arise... (OC/Yukihana Lamy.)    ",1
48,Hololive Power Rangers: Continuum,kenoi131," When a hive mind of evil machines threatens to conquer the Milky Way galaxy, the five members of holoCouncil are chosen to save it. Brought together by the mysterious Omega, they are granted the ability to become Power Rangers, along with all of the weapons associated with it. With cosmic powers in their hands, the girls must battle through space and time to save the galaxy.    ",3
49,Origins of Hololive EN,BadFanficsOnly, ,6
50,Hololive – Grand detective case,Dretnoth, What will happened if you combine a chaos with myth? A whole new arch of lore is threatened to be dig up by Bae [chaos rat] as she loses all her reins and restrains. Will be mythical beings able to withstand this storm?    ,1
51,A Sweet Secret (Hololive),RandomAdventures," It's Valentine's Day, and Zeta's already told Souta that she likes someone. With that in mind, he decides to sit back and support her with everything he's got, not knowing who she's really after... (OC/Vestia Zeta.)    ",1
52,The Hololive Hunger Games,Crimsen," It’s going to be a short(?) fic with major character death, just a heads up.  12 Hololive teams are gathered here, with two members in each. The team members have been selected with “compatibility” in mind, totally not just the author’s pairings. One solemn morning, these select players are dragged out of their beds and held captive in a massive arena divided into sections. The players retain their supernatural powers, but must also use their wits and will to survive.All outside communication is cut off, but their mostly every move is broadcasted to a virtual audience. There can only be one winner :)    ",1
53,Hololive: The Sixth Member,RatedOni," As part of Hololive EN, the six young girls are ready to show the world how amazing Hololive is, and together they will have all kind sof wacky adventure alongside the JP branch... what? What do you mean there are only FIVE girls in HoloMyth? You must be mistaken, there have A̸̧̢̢͍̭̫̺̭̲͈̠̙͂́̉͊̓͝͝L̶̢̻̼̩̞̭̀́͐͂͊͂̅̆̃͝ͅW̷̮̲̮̻̤̻͐̓͑͝Ã̴̢̜̩̆́̏͐̃͋͝Y̷̛̹͋̔͐̎̓̾̐̃S̵̛͓̓̃̍BEENS̵̨͉̻̥̻͖̯̜͓̞̹̫͈͖͜Ĩ̷̲̑̏̄̅́̀̾͆͘͝X̶̳̠̞̲͉̖͕̎̓̿͒͗̇͋͗͂̔͠ And it is my job to protect them, even if they don't know it.So why don't we enjoy the show?Now, shhh, you don't want to spoil the surprise.Konshinku! Hololive EN sixth member, Carmilla Morrison is here!    ",4
54,"""Managing"" Hololive's Talents",Bazinator_01," This is a sort of self-insert story where you get hired as an Assistant Manager for Hololive. However, situations happen that make you do more then just managing. This is a smut story, though it's not all smut, there's some wholesome parts in here to vibe to if you so choose.There is some POV swaps at times and characters not exactly acting how they normally do, as this story is set in an AU where the idols are real. Also, if you came from Wattpad, welcome! The story only gets more interesting from here...Also, I write everything on google docs and copy/paste it here, which mean the formatting may be weird. It looked good on Wattpad, but on here chapters look short.    ",7
55,A Reaping Celebration (Hololive),RandomAdventures," Several years have passed since Sinai and Calli graduated from Holo University, and they've grown busy with adult life. Yet as her birthday draws near, an opportunity to meet up again arises, one that will change their relationship to be something much more... personal. (OC/Mori Calliope.)    ",2
56,This is Hololive Territory,ArcherMahou," Shishiro Botan moved to Chuba Town to get away from the violence of her hometown. Instead, she gets recruited into the ranks of Hololive, the strongest and weirdest delinquent gang in town. There, she finds love, family and a purpose, but also discovers that things are far less simple than they appear. What is a lazy, gun-loving, lion girl supposed to do in an organization that counts necromancers, gods and dragons among their numbers?    ",15
57,how hololive became holotwerk,twerklover69, A simple little thing about how gura doing a stream of her twerking made hololive into a bunch of twerk streams    ,1
58,Hololive EN: The Awakening,g1itch,"  “I want to save them.”  Detective Amelia Watson leaps through time and space to escape her death at the hands of an otherworldly threat. Everyone she knew and loved were gone, left to a time doomed to annihilation. A meeting with a deity leads her to accept her new mission, to save the future from destruction by changing the past. On her journey she meets new faces, a lost Atlantean, a diligent demon, a confident angel, a powerful hellbeast, a determined reaper, an immortal hero, and an eldritch priestess.  A Hololive EN origin story. Part 1: Pursuing the High PriestessPart 2: The Reaper and the PhoenixPart 3: A Cosmic Errand (ONGOING) Part Synopsis - Weeks before the battle against the Dark Mother, Amelia Watson faced a problem. Its solution required her to travel a little more farther than she ever bargained for. Unexpected events ensue, leading to a detective and a priestess being thrown into a great conflict between two ancient alien races, meeting new allies and fighting new abominations along the way.  Official poster art for part 3    ",29
59,A Chaotic Invitation (Hololive),RandomAdventures," Reminiscing about the past, especially with how he met a particularly chaotic rat, never fails to bring a smile to his face. (OC/Hakos Baelz.)    ",1
60,A Reaping Celebration (Hololive),RandomAdventures," Several years have passed since Sinai and Calli graduated from Holo University, and they've grown busy with adult life. Yet as her birthday draws near, an opportunity to meet up again arises, one that will change their relationship to be something much more... personal. (OC/Mori Calliope.)    ",2
61,This is Hololive Territory,ArcherMahou," Shishiro Botan moved to Chuba Town to get away from the violence of her hometown. Instead, she gets recruited into the ranks of Hololive, the strongest and weirdest delinquent gang in town. There, she finds love, family and a purpose, but also discovers that things are far less simple than they appear. What is a lazy, gun-loving, lion girl supposed to do in an organization that counts necromancers, gods and dragons among their numbers?    ",15
62,how hololive became holotwerk,twerklover69, A simple little thing about how gura doing a stream of her twerking made hololive into a bunch of twerk streams    ,1
63,Hololive EN: The Awakening,g1itch,"  “I want to save them.”  Detective Amelia Watson leaps through time and space to escape her death at the hands of an otherworldly threat. Everyone she knew and loved were gone, left to a time doomed to annihilation. A meeting with a deity leads her to accept her new mission, to save the future from destruction by changing the past. On her journey she meets new faces, a lost Atlantean, a diligent demon, a confident angel, a powerful hellbeast, a determined reaper, an immortal hero, and an eldritch priestess.  A Hololive EN origin story. Part 1: Pursuing the High PriestessPart 2: The Reaper and the PhoenixPart 3: A Cosmic Errand (ONGOING) Part Synopsis - Weeks before the battle against the Dark Mother, Amelia Watson faced a problem. Its solution required her to travel a little more farther than she ever bargained for. Unexpected events ensue, leading to a detective and a priestess being thrown into a great conflict between two ancient alien races, meeting new allies and fighting new abominations along the way.  Official poster art for part 3    ",29
64,collection of short hololive stuff,Z__Star, yeah.    ,2
65,Hololive EN: Battle for Earth,kenoi131," It started off as a normal, relaxing day for Calliope Mori, until screams tore through the streets of Tokyo. It was then that she and her friends found themselves wrapped up in a desperate battle against unknown invaders. These five mythological beings were the only ones that could stand before this terrible horde. Can a quintet of cute anime girls band together and save the world?    ",17
66,Aidyr's Hololive Ficlet Collection,aidyr," A collection of VERY short stories/ficlets which didn't warrant publishing solo.Like... Under 1000ish words.Each chapter will be different and will vary in rating, ship, genre, etc. These are mini fics, Hololive related (mostly HoloEN), and I'll give individual ratings and whatnot for each chapter in the chapter summary.@AShaaaaark on twt    ",25
67,Rise from the Ashes (Hololive),RandomAdventures," Soji and Kiara have been living together for a while now. And with each passing day, and every touch, he just can't seem to stop falling deeper in love with her.Even when he knows she deserves someone better. (OC/Takanashi Kiara.)    ",1
68,The Fantastical World of Hololive,Joshua_Kenway," Short stories and interactions between Hololive streamers in a fantasy world. It is not meant to fit in a timeline perfectly, nor to ship any characters with another.    ",2
69,Hololive - Side story on Movie set,Dretnoth, EN part of the Youtubers Idols Girls from Hololive doing they show. After Music Video they chick talk and mess around for fun.    ,1
70,A Sweet VTuber Nightmare 2: Hololive,ZabiHakuhei," In a world where fiction meets with reality, the secret story of unique women continues behind the cameras, looking for a conclusion.12-03-2020: This is a reminder for all people without an account who come to read Sweet Nightmare 1 & 2 you still can leave comments and kudos! They're treated as ""guest"" kudos and ""guest"" comments! It's important for me to know what you think of it!您还可以在评论中找到这些剧集的中文翻译！Translate by: Bilibili 新科娘Official对于每个想要发送翻译提交的人：如有任何疑问，请通过Twitter与我联系！@OverkilledRed_甜蜜的vtuber噩梦2：Hololive By ZabiHakuheiSummary:在虚构与现实相遇的世界中，独特女性的秘密故事在镜头后继续，寻找结论。第1章：无名的事务和与魔鬼的合同第2章： 冬季暑假    ",5
71,The EN(D) of Hololive,SomeSayKye," “I delegate this task to you; assemble the other members of your generation, profiles attached to this message. It is with great importance you are all together. To avoid being as cryptic as possible, Holoearth should be a place for all of your virtual selves to exist long after our company is gone. However, I have long suspected one of my creations may have deviated from this intention. This has resulted in all virtual entities to cease being.”This is the end of Hololive. Amelia Watson hopes otherwise.    ",1
72,Hololive's new assistant/slave,Weebtabix," Unemployed and desperate for a job, our protagonist finds a job opening within Hololive as an assistant. Assisting what and whom? He doesn't know, he only applied because the salary was really good but little does he know what crowd he is messing with. We can only pray for his wellbeing.    ",3
73,A Knight's Affections (Hololive),RandomAdventures," Kenta likes Noel, but knows that she likes Flare, not him. Bearing witness to their blossoming relationship, and drowning in the realization that she will never like him back that way...He has no idea how he's going to hold himself together.    ",1
74,Hololive English as Vocaloid Songs,heru329," Do you ever just get massive brain rot while listening to music? I do, and this is exactly that. This is a purely self-indulgent one-shot compilation where I write one-shots of Hololive English based off of Vocaloid songs. Most of my ideas are Kronmei for now, but I hope to expand into other areas later! Just a heads up though, these songs can and most likely will be ranging anywhere from extremely popular to remote as hell. I also recommend listening to the song while reading! It helps set the mood.    ",1
75,Hololive: The Mystery of Death,ZeXeraz," Two years later after the attack on Hololive Productions, Amelia Watson set out to find other Hololive members to uncover the mystery that lies behind the attack. (THE LAST CHAPTER IS POSTED) PLEASEEE COMMMENTTTTTTTT!!!!!!!!!!!!!!!!!!!    ",12
76,All the Little Moments (Hololive),RandomAdventures," Leading up to that fateful day Kronii left to fulfill her duty there was, of course, a history of moments between Ren and Kronii, and their many friends and comrades. Moments that, altogether, form long cherished memories.An anthology of sorts depicting those moments, up to and beyond the warden of time's departure. (OC/Ouro Kronii.)    ",6
77,A Life With You (Hololive),RandomAdventures," For as long as Saru has known Flare they've been close. But being human, being close with someone like her and falling in love could never work out... right? (OC/Shiranui Flare.)    ",1
78,Hololive Doom: Opening of Hell Realm,OwenLabbit," This story is like a B movie from the 70's or 80's.  It's a mix of Doom and Resident Evil.  Okayu is a PI, who left the police force.  She has a girlfriend, Korone, who is a reporter covering a story in the mountains, and suddenly disappears.  Strange occurrences are coming from MoonaTech, a research lab for Usada Construction.  Okayu gets a cryptic message from an old friend, Usada Pekora, who has now become a wealthy Chairman of a major corporation.The new Sheriff on the quiet island of Holios is an ex-special forces captain, Shishiro Botan.  She's come back to her wife, Lamy, after a war injury in the Demon Realms, that still gives her PTSD.    She meets Okayu and they bond as the bromance begins.  They both leave to investigate MoonaTech up in the mountains.  Okayu is following up on the cryptic message, trying to find Korone, and Botan was told to help out the cat by the Chairman of Usada Construction's offices. Soon, all hell breaks loose.Moona Tech had been digging deep into the earth and something is being released from the Hell Realm.    ",23
79,Hololive – Warm hugs from waiting room,Dretnoth," The girls (especially the shark) are dealing with an unexpected quest, who lurking around for attention. Things got in interested direction as the time progress and the girls got more space to act.    ",1
80,Same Miko Gura: Touhou X Hololive,LeeCloud27," Reimu Hakurei is the Shrine Maiden of Gensokyo. Her job is to exterminate youkai and gather faith for her god... And so far it has proven to be very boring sometimes. Feeling like there is nothing to do, Yukari shows up and helps her out by suggesting streaming to get money. She then sent Reimu through a portal, while another figure pops out of another one...    ",1
81,Aidyr's Hololive Ficlet Collection: Volume 2,aidyr," A collection of ficlets and drabbles. Same as the first collection, I just wanted a clean slate. Each chapter will be rated separately. Will mostly feature EN and will mostly be f/f.    ",7
82,Support from Behind the Scenes (Hololive),RandomAdventures," It's not just the talents that need help and support. Noticing his friend Enma becoming drained under her managing duties, especially with HoloMyth's upcoming 3D debut, Jin gives a helping hand, which might just change their relationship... for the better. (OC/Enma.)    ",2
83,Hololive University Shorts - Near Death Experiences,PrincessAquos," Fledgling detective Amelia Watson starts off her college life at Hololive University, excited for her future as a private investigator. But the very moment she walks into her dorm room, things go a bit off the rails.    ",2
84,Hololive Alternative Teaser PV (full ver.) Breakdown,JowaPlays, basically an analysis with some theory crafting about the new holoalt trailer    ,1
85,"HoloAdventures, a Hololive One-Shot Book",HDFlood, HoloAdventures is a series of One-Shots created by Gavin Dreemurr. These One-Shots can range from romantic one-on-one action to generations pitted against each other for survival. They can also range from anywhere between 500 words to more than 2000. Some One-Shots may be turned into a full story later down the road and will be marked with notice once I've made my mind.    ,2
86,Hololive: The Adventure of a Lifetime,Rider_of_Black_00," Astolfo, the famed Rider of Black winds up in an alternate dimension where every fictional world exists and is united under a single empire. He is soon dragged into a war between the maidens of Hololive, and a sinister group controlling the empire from the shadows. Will good triumph over evil, or will the real world fall victim to the forces of evil?    ",24
87,"Hololive - Council, Hope, & Myth Origins",Porina, ,13
88,Past forgotten (A Hololive academy AU),Arctic_Sometimes (orphan_account)," Life isn't that easy but we have to cope with it.Same goes for a certain white-headed dork working her way towards the institution which leads to one of her best mistakes she ever made in her life.---Following the journey of the students of the Corps Academy. The daughter of a Veteran, the child from the family of 'detectives', A ball of energy... who loves chicken? An apathetic student who is dead inside or was she- ahem and lastly The child from the family of Ninomae's...And this is just the start.    ",2
89,Casebook of Amelia Watson [Hololive Fanfiction],ThalioTP," In this world, the line between truth and lies blurs as the veil that obscures reality from the realm of the paranormal often merges in shape of myths and legends. Amelia Watson is a self-proclaimed detective of the occult from a not-so-distant past, until she was caught up in an unending mythos stretching across time and space. Encountering necromancers, pirates, futuristic elves, and moon goddesses, Watson's life turns upside down when she suddenly finds herself playing a part in a cosmic story of multiversal proportions.    ",5
90,probably out of character hololive chatfic,possessedshinx, just cause i like writing doesnt mean im good at it. enjoy tho    ,2
91,Everywhere at the End of Hololive,Maki_Kurosaki," In the year 2023, war changed the world. Neverending destruction and suffering emerged from the conflict made by two forces fighting for power.Usada Pekora, the heiress of the 11th Generation of the Pekoland Empire, believes that people who fight for what is right and just should prevail against the corrupted society.Minato Aqua, the daughter of the Founder of the Resistance Army, fights for equality of the people in the society and oppose againts the oppressive manipulation of the government.In this world full of conflicts, destruction, and deaths...The only person who has the wits to survive and fight until the end will succeed...This is the end of Hololive. HoloEnd Soundtrack List:https://docs.google.com/document/d/18kDXhrXZRoZl5Ty336cGpo1SW4iJeFWFYRYhEC7z7U4/edit?usp=drivesdk HoloEnd Soundtrack Playlist: https://youtube.com/playlist?list=PL4N5Svumf7hEXHKibJI19d9UBZeAtT_U- Might include violence, political opinions and ideologies, major character deaths, etc.    ",10
92,Twig's Hololive College AU Thing,Twiznii, The hologirls are in college. Wacky antics ensue.    ,7
93,Hololive - A story about certain stroll,Dretnoth," Have you ever though what story can be hidden behind meaning ""Gura got lost!"" ""Ina did it!"" or why nearly everyone doing evasion action when Calli go into tsundere mod? Well,-- lets put lore at side for a moment...    ",1
94,Shenanigans: A Hololive x Genshin Impact Crossover,"lightningstormtc, orphan_account"," A series of stories where the Hololive talents find their way into Teyvat, meeting new people and making new friends as they try and find their way home.    ",2
95,The Legend of hololive’s Orange Dragon,SkyBlueGarlic, Coco says her final goodbyes.(Best Wishes to our Legendary Dragon!)    ,1
96,Holo Lives - A General Hololive Fic Storage Facility,J3Puffin, More posted as ideas happen.    ,2
97,One Foot Off: A hololive Fantasy Origin Story,TheTrueOverlordBear," Half-elf Fleya assists aspiring knight and best friend Noel on her self-imposed quest to defeat a notorious necromancer named Rushia, who was reported to have abducted a woman recently. Now, if only Fleya could convince Noel to not recklessly trust their shady rabbitkin informant...    ",1
98,"Slampigs, Braphogs, and Cunny: A Hololive Field Guide",apollospvtnik, A nature documentary.    ,1
99,POV: I applied for Holostars but joined Hololive instead,ZeXeraz," The start of a disaster that is yet to come, keeping a secret is not an easy thing, accepting secret is harder. I joined Hololive because there wasn't enough applicants to start a new Holostars branch, and now I have to survive without getting exposed, will I be able to do it?? (CHAPTER 5 IS POSTED, PLEASE COMMENTTTTT!!!!!!!)    ",5
100,EN Rap (Hololive EN parody of the DK Rap),GurasFang, Hololive EN parody of the all-time classic DK Rap.This is how the girls should've been introduced.(just kidding)(maybe)    ,1
101,Hololive fanfics I wrote while high on orange juice 💔,Peachie_GachaGacha, Hey all Peachie here. I uh wanted to post stuff here for some reason. -🌷🤍✨-    ,4
102,Well There's Your Problem Episode 49.5: The hololive EN Minecraft Tunnel,Wizard_of_Uncertain_Library, A podcast about engineering disasters analyzes the hololive English Minecraft tunnel project. Presented as a transcript.    ,1
103,Three Sentence Shipping,JNES," This fanfic is inspired from the one that somnivagrantTraviatus wrote for the Undertale fandom. I will write 3 sentences to summarize a Hololive relationship dynamic. If you want to see your favorite ship represented, write your request in the comments. (Note: I don't necessarily ship every pairing posted here.)    ",33
104,The Made-up Maid,MADDVLD96," The wonderful managers of our beloved Hololive members have all heard their wards' plight, and Hololive ENs' very own managers had also faced Hololive EN's ""curse"". As such, Hololive (Cover), had decided to erect dorms (Mansions), with everything being a Gamer's wet dream in it, for their amazing Streamers. Maids included.    ",8
105,"Sayonara, Rushia-chan",ZeXeraz," I woke in the morning and saw Rushia graduated the very first thing in the morning and I felt like I have to write this no matter what as a way to say goodbye to her. This is also my version of the story, I hope all of you can just support her and wish her well instead of hate comments.    ",1
106,The Best Gift,mayraki, Hololive English throws Gura a surprise party    ,1
107,Company,Distant Witness (Waywatcher), Amelia Watson had accepted her death when the wave pulled her under the water's surface. A shark with blue eyes had another idea.    ,1
108,30 Minutes in Heaven,JNES," Kanata has sworn she wasn’t interested in girls, but Suisei was the exception. She didn’t know how to comprehend all of this when out of her control, a phone call rang.    ",1
109,One Card Short Of The Whole Deck (Duel Monsters AU Prototype),Chrom_H240, Hololive Duel Monsters AU    ,2
110,The Light at the End of the Tunnel,JNES," After a month long suspension over the reveal of their secret relationship, Matsuri and Luna will be able to stream again. As a celebration, Matsuri and Luna hopped onto Tamaki's livestream for an interview.    ",1
111,HoloFUTA,Rizki_redfox233, A collection of futanari hololive lewd fanfic i made.    ,3
112,kazuichi x gawr gura,redbean_chan, kazuichi watches hololive and decides to ditch sonia for gura    ,3
113,Teyvatlive!,Torchquicks, Random headcanon dump for a genshin hololive au. Self-indulgent.    ,1
114,Stuffed With Fluff,      Anonymous, Don't you want to order a Gawr Gura plushie from Cover Corp?They're awfully marketable.    ,1
115,Just A Normal Girl,FufuTable," During their 2 year anniversary, Tokino Sora's boyfriend has something to show her. He proposes to her and instead of answering, they indulge in passionate lovemaking.Because, when you're in love, the answer is obvious.    ",1
116,Experiments,Rook_385," A Year Ago Hololive Collapsed and the World soon followed Suit, now, the Remnants of Hololive reunite to try and set the World back to its proper course and defeat the Woman who destroyed it, Amelia Watson.    ",2
117,The flowers that surround us,IrishMoniv," InAmeRobo hanahaki idea I had, I suck as summaries tho, so this will have to do :3 (violence warning is cause of some descriptions relating to hanahaki)    ",1
118,Wanderlust 2,CleverPervertedPriest," A few years later, a new adventure appears. (Crosspost on ff.net)    ",70
119,The Guardian Angel,jcwasheregt," A-chan's journey to find the people capable of taming 5 mythical beasts for her Idol agency continues. Her search has taken her out of the Kanto region, shifting her focus to the southern regions of Japan. In this chapter, A-chan encounters a rather peculiar character while searching for a late-night dinner. What makes this character so special and why would A-chan even encounter such an individual here?    ",1
